win:	lose:	draw:
77800	43	2	5
77850	49	1	0
77900	48	1	1
77950	48	0	2
78000	47	1	2
78050	47	1	2
78100	49	0	1
78150	46	0	4
78200	45	1	4
78250	44	1	5
78300	47	0	3
78350	46	2	2
78400	44	2	4
78450	46	1	3
78500	46	1	3
78550	44	0	6
78600	47	1	2
78650	45	3	2
78700	47	2	1
78750	46	2	2
78800	48	1	1
78850	49	0	1
78900	46	1	3
78950	44	2	4
79000	45	1	4
79050	44	2	4
79100	49	0	1
79150	44	1	5
79200	49	1	0
79250	47	1	2
79300	46	2	2
79350	47	0	3
79400	46	0	4
79450	46	1	3
79500	44	1	5
79550	47	0	3
79600	42	3	5
79650	48	0	2
79700	45	1	4
79750	47	2	1
79800	45	2	3
79850	48	0	2
79900	48	0	2
79950	46	1	3
80000	46	1	3
80050	48	1	1
80100	45	0	5
80150	42	2	6
80200	47	0	3
80250	46	0	4
80300	47	1	2
80350	48	1	1
80400	44	0	6
80450	47	1	2
80500	49	0	1
80550	49	0	1
80600	45	0	5
80650	43	1	6
80700	47	0	3
80750	48	0	2
80800	45	2	3
80850	45	3	2
80900	46	1	3
80950	44	1	5
81000	47	1	2
81050	46	2	2
81100	47	0	3
81150	46	1	3
81200	45	1	4
81250	48	1	1
81300	43	1	6
81350	45	1	4
81400	48	1	1
81450	42	1	7
81500	50	0	0
81550	46	4	0
81600	46	0	4
81650	47	2	1
81700	45	0	5
81750	43	1	6
81800	47	1	2
81850	48	0	2
81900	47	0	3
81950	48	0	2
82000	45	1	4
82050	46	2	2
82100	46	0	4
82150	43	2	5
82200	49	0	1
82250	46	0	4
82300	41	4	5
82350	46	2	2
82400	47	1	2
82450	44	1	5
82500	45	2	3
82550	46	0	4
82600	46	0	4
82650	48	0	2
82700	46	1	3
82750	45	2	3
82800	43	1	6
82850	46	0	4
82900	49	1	0
82950	44	2	4
83000	47	0	3
83050	44	1	5
83100	46	0	4
83150	45	2	3
83200	49	0	1
83250	44	1	5
83300	45	0	5
83350	43	1	6
83400	44	0	6
83450	47	1	2
83500	46	1	3
83550	47	0	3
83600	47	0	3
83650	46	1	3
83700	50	0	0
83750	46	0	4
83800	44	3	3
83850	46	1	3
83900	45	0	5
83950	47	1	2
84000	45	1	4
84050	45	0	5
84100	46	2	2
84150	46	1	3
84200	47	1	2
84250	49	0	1
84300	47	1	2
84350	49	1	0
84400	46	3	1
84450	42	1	7
84500	42	2	6
84550	43	1	6
84600	48	0	2
84650	48	0	2
84700	44	1	5
84750	45	2	3
84800	47	0	3
84850	48	1	1
84900	47	0	3
84950	47	1	2
85000	45	2	3
85050	47	1	2
85100	46	0	4
85150	46	1	3
85200	48	0	2
85250	47	1	2
85300	47	0	3
85350	46	0	4
85400	47	2	1
85450	46	0	4
85500	45	1	4
85550	47	0	3
85600	45	3	2
85650	46	0	4
85700	48	1	1
85750	47	1	2
85800	47	2	1
85850	45	1	4
85900	45	2	3
85950	44	1	5
86000	45	0	5
86050	48	0	2
86100	46	1	3
86150	43	2	5
86200	45	1	4
86250	44	4	2
86300	47	1	2
86350	45	0	5
86400	48	0	2
86450	44	0	6
86500	48	1	1
86550	46	3	1
86600	46	1	3
86650	46	2	2
86700	46	2	2
86750	43	3	4
86800	47	2	1
86850	46	3	1
86900	45	1	4
86950	47	0	3
87000	46	2	2
87050	47	0	3
87100	48	1	1
87150	47	1	2
87200	45	1	4
87250	49	0	1
87300	44	0	6
87350	46	1	3
87400	45	1	4
87450	47	0	3
87500	47	0	3
87550	46	0	4
87600	47	1	2
87650	47	0	3
87700	47	2	1
87750	48	0	2
87800	48	1	1
87850	49	1	0
87900	47	0	3
87950	47	0	3
88000	47	2	1
88050	46	1	3
88100	47	1	2
88150	47	0	3
88200	46	3	1
88250	47	0	3
88300	45	2	3
88350	45	2	3
88400	46	1	3
88450	45	0	5
88500	44	2	4
88550	45	0	5
88600	47	0	3
88650	48	0	2
88700	41	0	9
88750	45	2	3
88800	45	0	5
88850	46	1	3
88900	47	1	2
88950	48	0	2
89000	49	0	1
89050	48	0	2
89100	47	1	2
89150	45	0	5
89200	42	2	6
89250	46	0	4
89300	46	0	4
89350	47	0	3
89400	47	1	2
89450	49	0	1
89500	49	0	1
89550	48	0	2
89600	48	1	1
89650	45	0	5
89700	47	0	3
89750	45	3	2
89800	47	2	1
89850	46	0	4
89900	43	2	5
89950	45	0	5
90000	47	2	1
90050	46	0	4
90100	42	3	5
90150	47	0	3
90200	47	1	2
90250	47	2	1
90300	43	0	7
90350	46	0	4
90400	48	1	1
90450	48	0	2
90500	45	0	5
90550	46	1	3
90600	45	0	5
90650	46	1	3
90700	45	1	4
90750	44	1	5
90800	43	1	6
90850	48	1	1
90900	45	3	2
90950	45	1	4
91000	42	1	7
91050	45	2	3
91100	46	1	3
91150	47	0	3
91200	47	2	1
91250	47	1	2
91300	46	1	3
91350	47	0	3
91400	44	1	5
91450	46	3	1
91500	46	1	3
91550	44	2	4
91600	42	5	3
91650	49	1	0
91700	43	1	6
91750	48	0	2
91800	48	0	2
91850	43	2	5
91900	48	0	2
91950	45	0	5
92000	46	0	4
92050	47	1	2
92100	48	1	1
92150	47	2	1
92200	45	1	4
92250	45	1	4
92300	46	2	2
92350	45	0	5
92400	46	2	2
92450	47	0	3
92500	44	1	5
92550	49	0	1
92600	49	1	0
92650	49	0	1
92700	48	0	2
92750	48	1	1
92800	47	3	0
92850	48	0	2
92900	47	1	2
92950	48	0	2
93000	48	0	2
93050	44	1	5
93100	49	0	1
93150	46	1	3
93200	48	0	2
93250	44	1	5
93300	47	0	3
93350	46	0	4
93400	50	0	0
93450	43	0	7
93500	44	2	4
93550	47	1	2
93600	43	2	5
93650	48	0	2
93700	49	0	1
93750	48	1	1
93800	47	0	3
93850	46	0	4
93900	45	1	4
93950	50	0	0
94000	46	1	3
94050	50	0	0
94100	45	1	4
94150	47	1	2
94200	46	1	3
94250	48	0	2
94300	48	2	0
94350	45	1	4
94400	49	1	0
94450	49	0	1
94500	44	1	5
94550	49	1	0
94600	47	1	2
94650	45	1	4
94700	46	0	4
94750	45	1	4
94800	47	1	2
94850	45	1	4
94900	47	2	1
94950	46	1	3
95000	48	0	2
95050	48	1	1
95100	46	0	4
95150	42	2	6
95200	46	1	3
95250	44	1	5
95300	46	1	3
95350	48	1	1
95400	46	2	2
95450	47	0	3
95500	45	2	3
95550	47	1	2
95600	43	1	6
95650	46	1	3
95700	46	0	4
95750	48	0	2
95800	45	0	5
95850	45	0	5
95900	45	1	4
95950	45	1	4
96000	47	0	3
96050	45	1	4
96100	45	0	5
96150	47	0	3
96200	49	0	1
96250	47	2	1
96300	49	1	0
96350	45	0	5
96400	46	1	3
96450	45	0	5
96500	45	1	4
96550	46	1	3
96600	41	3	6
96650	45	2	3
96700	48	0	2
96750	48	1	1
96800	48	0	2
96850	45	1	4
96900	47	0	3
96950	45	0	5
97000	48	1	1
97050	43	2	5
97100	44	3	3
97150	46	0	4
97200	47	0	3
97250	48	1	1
97300	46	1	3
97350	46	1	3
97400	43	0	7
97450	48	0	2
97500	44	2	4
97550	47	0	3
97600	49	0	1
97650	47	1	2
97700	48	0	2
97750	47	0	3
97800	48	0	2
97850	46	0	4
97900	50	0	0
97950	49	1	0
98000	48	0	2
98050	47	0	3
98100	46	2	2
98150	44	0	6
98200	46	1	3
98250	46	1	3
98300	49	0	1
98350	49	0	1
98400	47	0	3
98450	48	0	2
98500	46	1	3
98550	45	0	5
98600	47	1	2
98650	46	0	4
98700	47	1	2
98750	47	1	2
98800	48	0	2
98850	46	0	4
98900	46	2	2
98950	43	1	6
99000	47	2	1
99050	46	1	3
99100	46	2	2
99150	43	3	4
99200	47	0	3
99250	46	2	2
99300	44	1	5
99350	48	1	1
99400	46	2	2
99450	45	1	4
99500	45	1	4
99550	47	1	2
99600	46	1	3
99650	47	2	1
99700	45	0	5
99750	44	1	5
99800	45	2	3
99850	50	0	0
99900	49	0	1
99950	47	1	2
