episode	win	lose	draw	epsilon	rate
180000	973	27	0	7.909649226821996e-13	0.973
181000	973	27	0	7.909649226821996e-13	0.973
182000	972	28	0	7.909649226821996e-13	0.972
183000	975	25	0	7.909649226821996e-13	0.975
184000	970	30	0	7.909649226821996e-13	0.97
185000	980	20	0	7.909649226821996e-13	0.98
186000	979	21	0	7.909649226821996e-13	0.979
187000	978	22	0	7.909649226821996e-13	0.978
188000	980	20	0	7.909649226821996e-13	0.98
189000	974	26	0	7.909649226821996e-13	0.974
190000	979	21	0	7.909649226821996e-13	0.979
191000	975	25	0	7.909649226821996e-13	0.975
192000	980	20	0	7.909649226821996e-13	0.98
193000	983	17	0	7.909649226821996e-13	0.983
194000	975	25	0	7.909649226821996e-13	0.975
195000	970	30	0	7.909649226821996e-13	0.97
196000	979	21	0	7.909649226821996e-13	0.979
197000	980	20	0	7.909649226821996e-13	0.98
198000	977	23	0	7.909649226821996e-13	0.977
199000	980	20	0	7.909649226821996e-13	0.98
