Episode	avg	min	max
135000	-138.81	-164.0	-117.0
135500	-138.342	-165.0	-117.0
136000	-137.814	-164.0	-117.0
136500	-137.95	-165.0	-117.0
137000	-137.688	-164.0	-117.0
137500	-137.606	-164.0	-117.0
138000	-137.972	-164.0	-117.0
138500	-137.664	-165.0	-117.0
139000	-139.018	-167.0	-117.0
139500	-138.29	-165.0	-117.0
140000	-138.264	-164.0	-117.0
140500	-137.938	-165.0	-117.0
141000	-137.762	-164.0	-117.0
141500	-139.022	-165.0	-117.0
142000	-138.088	-165.0	-117.0
142500	-137.92	-165.0	-117.0
143000	-137.924	-165.0	-117.0
143500	-138.398	-165.0	-117.0
144000	-138.356	-167.0	-117.0
144500	-138.322	-167.0	-117.0
145000	-137.74	-165.0	-117.0
145500	-137.868	-167.0	-117.0
146000	-137.266	-165.0	-117.0
146500	-138.262	-166.0	-117.0
147000	-138.396	-165.0	-117.0
147500	-137.858	-167.0	-117.0
148000	-137.542	-164.0	-117.0
148500	-136.956	-165.0	-117.0
149000	-137.888	-164.0	-117.0
149500	-138.22	-165.0	-117.0
150000	-137.594	-165.0	-117.0
150500	-137.488	-166.0	-117.0
151000	-138.114	-165.0	-117.0
151500	-137.91	-165.0	-117.0
152000	-137.236	-167.0	-117.0
152500	-138.594	-165.0	-117.0
153000	-137.182	-164.0	-117.0
153500	-138.648	-164.0	-117.0
154000	-138.644	-164.0	-117.0
154500	-137.034	-164.0	-117.0
155000	-138.266	-166.0	-117.0
155500	-137.944	-165.0	-117.0
156000	-137.3	-167.0	-117.0
156500	-137.95	-165.0	-117.0
157000	-138.898	-166.0	-117.0
157500	-138.942	-165.0	-117.0
158000	-138.644	-167.0	-117.0
158500	-138.056	-166.0	-117.0
159000	-137.194	-165.0	-117.0
159500	-135.626	-164.0	-117.0
160000	-138.57	-167.0	-117.0
160500	-138.54	-167.0	-117.0
161000	-139.36	-168.0	-117.0
161500	-139.292	-167.0	-117.0
162000	-138.436	-170.0	-117.0
162500	-139.212	-170.0	-117.0
163000	-140.038	-168.0	-117.0
163500	-139.406	-167.0	-117.0
164000	-138.594	-169.0	-117.0
164500	-138.97	-167.0	-117.0
165000	-139.064	-167.0	-117.0
165500	-138.716	-167.0	-117.0
166000	-138.704	-167.0	-117.0
166500	-138.596	-168.0	-117.0
167000	-139.46	-167.0	-117.0
167500	-139.794	-167.0	-117.0
168000	-137.926	-167.0	-117.0
168500	-139.64	-167.0	-117.0
169000	-138.638	-169.0	-117.0
169500	-138.526	-167.0	-117.0
170000	-138.652	-166.0	-117.0
170500	-139.322	-167.0	-117.0
171000	-138.006	-169.0	-117.0
171500	-139.75	-169.0	-117.0
172000	-138.434	-167.0	-117.0
172500	-138.86	-167.0	-117.0
173000	-139.918	-168.0	-117.0
173500	-138.348	-167.0	-117.0
174000	-138.736	-167.0	-117.0
174500	-139.548	-167.0	-117.0
175000	-139.088	-166.0	-117.0
175500	-139.748	-169.0	-117.0
176000	-138.624	-169.0	-117.0
176500	-138.546	-167.0	-117.0
177000	-138.688	-167.0	-117.0
177500	-138.29	-167.0	-117.0
178000	-139.972	-167.0	-117.0
178500	-139.312	-167.0	-117.0
179000	-138.854	-167.0	-117.0
179500	-140.112	-167.0	-117.0
180000	-139.35	-167.0	-117.0
180500	-138.654	-167.0	-117.0
181000	-139.358	-169.0	-117.0
181500	-140.018	-169.0	-117.0
182000	-138.108	-167.0	-117.0
182500	-138.18	-167.0	-117.0
183000	-139.16	-167.0	-117.0
183500	-137.842	-167.0	-117.0
184000	-139.418	-167.0	-117.0
184500	-140.256	-167.0	-117.0
185000	-138.352	-169.0	-117.0
185500	-140.014	-167.0	-117.0
186000	-138.882	-167.0	-117.0
186500	-138.266	-167.0	-117.0
187000	-139.034	-167.0	-117.0
187500	-139.256	-167.0	-117.0
188000	-139.264	-167.0	-117.0
188500	-139.86	-167.0	-117.0
189000	-138.604	-168.0	-117.0
189500	-139.742	-167.0	-117.0
190000	-138.586	-166.0	-117.0
190500	-139.884	-167.0	-117.0
191000	-138.204	-167.0	-117.0
191500	-139.278	-167.0	-117.0
192000	-138.586	-168.0	-117.0
192500	-139.072	-167.0	-116.0
193000	-139.092	-169.0	-116.0
193500	-138.41	-169.0	-116.0
194000	-139.468	-166.0	-116.0
194500	-139.062	-167.0	-116.0
195000	-137.842	-167.0	-116.0
195500	-138.286	-167.0	-116.0
196000	-139.432	-167.0	-116.0
196500	-138.458	-167.0	-116.0
197000	-139.826	-166.0	-116.0
197500	-139.438	-167.0	-116.0
198000	-139.972	-168.0	-116.0
198500	-138.004	-167.0	-116.0
199000	-137.662	-168.0	-116.0
199500	-137.574	-167.0	-116.0
200000	-138.958	-167.0	-116.0
200500	-138.332	-169.0	-116.0
201000	-137.428	-167.0	-116.0
201500	-137.816	-167.0	-116.0
202000	-139.364	-167.0	-116.0
202500	-137.556	-167.0	-116.0
203000	-138.36	-167.0	-116.0
203500	-137.59	-166.0	-116.0
204000	-139.4	-167.0	-116.0
204500	-138.46	-167.0	-116.0
205000	-139.572	-167.0	-116.0
205500	-138.756	-169.0	-116.0
206000	-138.348	-167.0	-116.0
206500	-139.15	-167.0	-116.0
207000	-139.284	-168.0	-116.0
207500	-138.356	-167.0	-116.0
208000	-138.622	-167.0	-116.0
208500	-138.762	-166.0	-116.0
209000	-138.562	-167.0	-116.0
209500	-138.706	-167.0	-116.0
210000	-138.704	-169.0	-116.0
210500	-139.52	-167.0	-116.0
211000	-139.182	-167.0	-116.0
211500	-139.032	-167.0	-116.0
212000	-138.776	-167.0	-116.0
212500	-137.736	-167.0	-116.0
213000	-138.57	-167.0	-116.0
213500	-137.748	-167.0	-116.0
214000	-138.802	-167.0	-116.0
214500	-138.23	-167.0	-116.0
215000	-137.562	-166.0	-116.0
215500	-138.996	-167.0	-116.0
216000	-138.704	-168.0	-116.0
216500	-138.336	-167.0	-116.0
217000	-139.166	-166.0	-116.0
217500	-139.23	-167.0	-116.0
218000	-139.94	-169.0	-116.0
218500	-138.762	-169.0	-116.0
219000	-137.604	-169.0	-116.0
219500	-137.338	-167.0	-116.0
220000	-138.434	-167.0	-116.0
220500	-139.314	-167.0	-116.0
221000	-137.964	-167.0	-116.0
221500	-138.03	-167.0	-116.0
222000	-138.548	-167.0	-116.0
222500	-138.64	-167.0	-116.0
223000	-138.46	-167.0	-116.0
223500	-138.298	-167.0	-116.0
224000	-138.486	-167.0	-116.0
224500	-137.728	-169.0	-116.0
225000	-138.43	-167.0	-116.0
225500	-139.53	-168.0	-116.0
226000	-138.012	-167.0	-116.0
226500	-139.162	-167.0	-116.0
227000	-138.956	-168.0	-116.0
227500	-137.648	-167.0	-116.0
228000	-137.492	-167.0	-116.0
228500	-139.038	-167.0	-116.0
229000	-137.938	-169.0	-116.0
229500	-137.934	-167.0	-116.0
230000	-138.57	-167.0	-116.0
230500	-138.812	-167.0	-117.0
231000	-139.962	-167.0	-117.0
231500	-138.868	-167.0	-117.0
232000	-139.08	-167.0	-117.0
232500	-139.236	-167.0	-117.0
233000	-139.168	-167.0	-117.0
233500	-139.146	-167.0	-117.0
234000	-139.126	-167.0	-117.0
234500	-139.11	-169.0	-117.0
235000	-138.728	-167.0	-117.0
235500	-139.784	-167.0	-117.0
236000	-138.962	-167.0	-117.0
236500	-139.038	-167.0	-117.0
237000	-137.896	-169.0	-117.0
237500	-139.164	-167.0	-117.0
238000	-138.088	-167.0	-117.0
238500	-137.88	-167.0	-117.0
239000	-138.724	-169.0	-117.0
239500	-139.3	-167.0	-117.0
240000	-139.238	-167.0	-117.0
240500	-138.606	-169.0	-117.0
241000	-137.644	-167.0	-117.0
241500	-137.724	-166.0	-117.0
